Company Name,Ticker
ACE Convergence Acquisition Corp.,ACEV.U
ACE Convergence Acquisition Corp.,ACEV
ACE Convergence Acquisition Corp.,ACEV.WS
Artius Acquisition Inc.,AACQU
Artius Acquisition Inc.,AACQ
Artius Acquisition Inc.,AACQW
Ascendant Digital Acquisition Corp.,ACND.U
Ascendant Digital Acquisition Corp.,ACND
Ascendant Digital Acquisition Corp.,ACND.WS
D8 Holdings Corp.,DEH.U
D8 Holdings Corp.,DEH
D8 Holdings Corp.,DEH.WS
Deerfield Healthcare Technology Acquisitions Corp.,DFHTU
Deerfield Healthcare Technology Acquisitions Corp.,DFHT
Deerfield Healthcare Technology Acquisitions Corp.,DFHTW
"dMY Technology Group, Inc. II",DMYD.U
"dMY Technology Group, Inc. II",DMYD
"dMY Technology Group, Inc. II",DMYD.WS
East Resources Acquisition Company,ERES.U
East Resources Acquisition Company,ERES
East Resources Acquisition Company,ERES.WS
GO Acquisition Corp.,1
GO Acquisition Corp.,1
GO Acquisition Corp.,1
Greencity Acquisition Corp.,GRCYU
Greencity Acquisition Corp.,GRCY
Greencity Acquisition Corp.,GRCYW
HPX Corp.,HPX.U
HPX Corp.,HPX
HPX Corp.,HPX.WS
Malacca Straits Acquisition Company Ltd.,MLACU
Malacca Straits Acquisition Company Ltd.,MLAC
Malacca Straits Acquisition Company Ltd.,MLACW
"Pershing Square Tontine Holdings, Ltd.",PSTH.U
"Pershing Square Tontine Holdings, Ltd.",PSTH
"Pershing Square Tontine Holdings, Ltd.",PSTH.WS
Property Solutions Acquisition Corp.,PSACU
Property Solutions Acquisition Corp.,PSAC
Property Solutions Acquisition Corp.,PSACW
PTK Acquisition Corp.,PTK.U
PTK Acquisition Corp.,PTK
PTK Acquisition Corp.,PTK.WS
Therapeutics Acquisition Corp.,TXAC
Therapeutics Acquisition Corp.,
UTXO Acquisition Inc.,UTXOU
UTXO Acquisition Inc.,UTXOA
UTXO Acquisition Inc.,UTXOW
UTXO Acquisition Inc.,UTXOR
Act II Global Acquisition Corp.,FREE
Act II Global Acquisition Corp.,FREEW
Arya Sciences Acquisition Corp.,IMTX
Arya Sciences Acquisition Corp.,IMTXW
Boxwood Merger Corp.,BWMCU
Boxwood Merger Corp.,BWMC
Boxwood Merger Corp.,BWMCW
B. Riley Principal Merger Corp.,BRPM.U
B. Riley Principal Merger Corp.,BRPM
B. Riley Principal Merger Corp.,BRPM.WS
ChaSerg Technology Acquisition Corp.,CTACU
ChaSerg Technology Acquisition Corp.,CTAC
ChaSerg Technology Acquisition Corp.,CTACW
DD3 Acquisition Corp.,DDMXU
DD3 Acquisition Corp.,DDMX
DD3 Acquisition Corp.,DDMXW
Diamond Eagle Acquisition Corp.,DKNG
Diamond Eagle Acquisition Corp.,DKNGW
EdtechX Holdings Acquisition Corp.,METX
EdtechX Holdings Acquisition Corp.,EDTXW
Gordon Pointe Acquisition Corp.,GPAQU
Gordon Pointe Acquisition Corp.,GPAQ
Gordon Pointe Acquisition Corp.,GPAQW
"Gores Holdings III, Inc.",GRSHU
GS Acquisition Holdings Corp.,VERT.U
GS Acquisition Holdings Corp.,+VRT
GS Acquisition Holdings Corp.,VRT.WS
Mosaic Acquisition Corp.,MOSC.U
Mosaic Acquisition Corp.,MOSC
Mosaic Acquisition Corp.,MOSC.WS
Mudrick Capital Acquisition Corporation ,HYMC
Mudrick Capital Acquisition Corporation ,HYMCW
Nebula Acquisition Corp.,LPRO
